,X,Y,Z,corr_dim_0.01
521,0.024672,0.028142,0.007328,104
522,0.025141,0.028792,0.004611,98
523,0.002516,0.034698,0.017357,114
524,0.003485,0.034473,0.019142,96
525,0.023401,0.013927,0.019268,101
526,0.022886,0.012262,0.019585,92
527,0.024329,0.013334,0.018311,109
528,0.022808,0.015927,0.019565,103
529,0.024633,0.014704,0.018365,108
530,0.028857,0.007048,0.008076,125
531,0.028794,0.005782,0.005092,138
532,0.029754,0.00733,0.004175,128
533,0.02601,0.015081,0.015128,135
534,0.026252,0.016528,0.016026,128
535,0.025221,0.015658,0.01694,123
536,0.026957,0.005334,0.008865,127
537,0.027254,0.004451,0.007906,130
538,0.027694,0.00529,0.006711,133
539,0.028977,0.003876,0.009267,120
540,0.026907,0.002326,0.010139,120
541,0.027221,0.002795,0.008011,128
542,0.027261,0.017608,0.016452,126
543,0.025647,0.017179,0.017574,115
544,0.026312,0.013771,0.014773,136
545,0.027536,0.012705,0.01404,126
546,0.027736,0.014134,0.015023,129
547,0.028139,0.015801,0.015801,119
548,0.026665,0.001174,0.008512,125
549,0.026673,-0.00042,0.006731,135
550,0.026605,0.001421,0.007111,127
551,0.025965,0.01357,0.016877,118
552,0.030268,0.014258,0.014503,115
553,0.025191,0.01622,0.018983,103
554,0.028171,0.00319,0.006559,127
555,0.027317,0.002049,0.005862,129
556,0.028389,0.003861,0.004777,138
557,0.027423,0.000894,0.00459,135
558,0.026931,0.002367,0.003275,134
559,0.026672,9e-06,0.008629,126
560,0.027326,0.004495,0.011057,117
561,0.027894,0.007802,0.0111,119
562,0.027459,0.005924,0.012609,114
563,0.027084,0.006365,0.010257,122
564,0.026764,0.000643,0.00983,121
565,0.02913,0.012213,0.01265,123
566,0.030444,0.013705,0.011693,110
567,0.028888,0.002665,0.001506,136
568,0.030224,0.011559,0.010366,111
569,0.025987,0.012458,0.015042,122
570,0.026759,0.011375,0.014496,119
571,0.028426,0.010121,0.011786,118
572,0.029544,0.009023,0.0102,108
573,0.029151,0.005167,0.001965,131
574,0.023686,0.018021,0.018564,110
575,0.029809,0.009933,0.007371,113
576,0.02786,0.010738,0.013419,126
577,0.028183,0.004321,0.006741,135
578,0.029043,0.008336,0.013648,111
579,0.028431,0.008913,0.01158,111
580,0.027931,0.003779,0.007773,126
581,0.023187,-0.023197,-0.01901,77
582,0.022872,-0.023673,-0.018595,74
583,0.022684,-0.023673,-0.018867,74
584,0.022759,-0.023673,-0.018991,74
585,-0.00798,0.033543,0.018266,92
586,-0.008849,0.031939,0.016869,98
587,-0.009464,0.031767,0.019825,115
588,-0.008065,0.033476,0.019849,104
589,-0.009811,0.034154,0.021039,106
590,-0.007213,0.0338,0.02133,106
591,-0.005636,0.034126,0.019077,93
592,-0.004605,0.035735,0.016822,82
593,-0.006247,0.034427,0.017319,87
594,-0.012294,0.031666,0.022523,108
595,-0.011845,0.0324,0.020778,112
596,-0.013411,0.030074,0.021066,102
597,0.006277,0.032696,0.018387,104
598,0.005165,0.033739,0.019505,96
599,0.005415,0.032053,0.01962,99
